ProjectID,ProjectName,ProjectType,ClientID,AreaID,ResponsibleID,PriorityID,PlannedStartDate,PlannedEndDate
PR0001,Optimización de Chancado Primario 001,Transformación Digital,C006,A005,R026,P1,2024-12-06,2025-01-05
PR0002,Reemplazo de Correa CV-101 002,Seguridad,C013,A006,R012,P2,2024-12-12,2025-04-28
PR0003,Mejora de Disponibilidad de Camiones CAEX 003,Seguridad,C009,A009,R010,P2,2024-02-02,2024-07-07
PR0004,Modernización Sistema Dispatch 004,Mina,C019,A015,R003,P1,2024-04-02,2024-09-21
PR0005,Upgrade SCADA Planta 005,Seguridad,C004,A007,R026,P4,2024-09-21,2024-12-23
PR0006,Reducción de Consumo Energético en Molienda 006,Confiabilidad,C003,A009,R023,P2,2024-08-03,2024-09-19
PR0007,Programa de Seguridad en Taller Mina 007,Infraestructura,C010,A001,R002,P2,2024-01-19,2024-03-29
PR0008,Mejoramiento Sistema de Relaves 008,Mina,C011,A002,R014,P3,2024-02-04,2024-07-10
PR0009,Cambio de Revestimientos Molino SAG 009,Transformación Digital,C014,A001,R015,P1,2024-07-09,2024-12-17
PR0010,Automatización de Reporte de Producción 010,Transformación Digital,C009,A002,R015,P2,2024-08-13,2024-12-16
PR0011,Proyecto de Monitoreo Geotécnico 011,Energía,C019,A015,R028,P3,2024-03-02,2024-04-19
PR0012,Mejora de Confiabilidad de Bombas de Pulpa 012,Planta,C010,A015,R005,P3,2024-03-03,2024-04-20
PR0013,Programa de Reducción de Backlog 013,Mina,C003,A014,R010,P4,2024-02-17,2024-05-28
PR0014,Optimización de Flotación 014,Infraestructura,C003,A001,R006,P3,2024-07-25,2024-11-20
PR0015,Reemplazo de Variadores en Correas 015,Mina,C020,A002,R008,P2,2024-01-03,2024-02-06
PR0016,Implementación de Tablero Operacional 016,Mina,C003,A005,R028,P3,2024-07-28,2024-12-07
PR0017,Optimización de Chancado Primario 017,Mantenimiento,C019,A010,R029,P4,2024-06-23,2024-10-12
PR0018,Reemplazo de Correa CV-101 018,Confiabilidad,C006,A006,R002,P3,2024-06-19,2024-07-20
PR0019,Mejora de Disponibilidad de Camiones CAEX 019,Mantenimiento,C002,A009,R019,P4,2024-09-05,2024-10-19
PR0020,Modernización Sistema Dispatch 020,Seguridad,C007,A003,R007,P3,2024-07-10,2024-10-16
PR0021,Upgrade SCADA Planta 021,Energía,C013,A013,R006,P4,2024-09-23,2025-02-08
PR0022,Reducción de Consumo Energético en Molienda 022,Energía,C009,A006,R009,P1,2024-10-06,2025-03-08
PR0023,Programa de Seguridad en Taller Mina 023,Infraestructura,C016,A002,R006,P3,2024-12-02,2025-03-06
PR0024,Mejoramiento Sistema de Relaves 024,Automatización,C013,A013,R015,P2,2024-10-19,2025-01-01
PR0025,Cambio de Revestimientos Molino SAG 025,Automatización,C009,A016,R030,P3,2024-07-08,2024-12-30
