ClientID,ClientName,Segment,Region,ContractType
C001,Operaciones Mina Norte,Operaciones Industriales,Costa,Proyecto Mina
C002,Planta Concentradora Central,Minería,Cordillera,Servicio Especializado
C003,Gerencia de Mantenimiento,Mantenimiento Industrial,Centro,Servicio Especializado
C004,Gerencia HSE,Servicios Mineros,Centro,Proyecto Mina
C005,Gerencia Energía,Minería,Pampa,Proyecto Mina
C006,Gerencia Proyectos Mina,Minería,Cordillera,Contrato Marco
C007,Contrato Servicios Mina,Servicios Mineros,Costa,SLA Operacional
C008,Contrato Mantenimiento Planta,Minería,Cordillera,SLA Operacional
C009,Centro Integrado de Operaciones,Minería,Cordillera,SLA Operacional
C010,Superintendencia Chancado,Operaciones Industriales,Cordillera,Proyecto Mina
C011,Superintendencia Molienda,Energía Industrial,Centro,Proyecto Mina
C012,Superintendencia Relaves,Minería,Costa,Servicio Especializado
C013,Superintendencia Mina,Energía Industrial,Norte,Proyecto Mina
C014,Contrato Automatización OT,Operaciones Industriales,Pampa,Proyecto Mina
C015,Contrato Energía Planta,Servicios Mineros,Pampa,Servicio Especializado
C016,Superintendencia Flotación,Operaciones Industriales,Centro,Servicio Especializado
C017,Operaciones Mina Norte,Servicios Mineros,Cordillera,SLA Operacional
C018,Planta Concentradora Central,Operaciones Industriales,Costa,Servicio Especializado
C019,Gerencia de Mantenimiento,Servicios Mineros,Cordillera,Servicio Especializado
C020,Gerencia HSE,Minería,Costa,Proyecto Mina
